name,longitude,latitude,prov,date,key
Danaus plexippus,-122.47638,37.76798,gbif,2016-01-27,1233602399
Danaus plexippus,-95.54156,29.9758,gbif,2016-01-30,1249279832
Danaus plexippus,-118.1805,33.60486,gbif,2016-01-30,1249284344
Danaus plexippus,-90.42949,-0.66994,gbif,2016-01-06,1229609074
Danaus plexippus,-97.40678,27.65246,gbif,2016-01-12,1272092429
Danaus plexippus,175.60247,-40.32696,gbif,2016-01-23,1233597271
Danaus plexippus,-118.14452,34.14779,gbif,2016-01-04,1229612625
Danaus plexippus,174.75819,-36.85885,gbif,2016-01-20,1305134376
Danaus plexippus,175.60247,-40.32703,gbif,2016-01-23,1233597259
Danaus plexippus,-98.6832,18.99407,gbif,2016-01-05,1257409941
Danaus plexippus,-16.7223,28.36629,gbif,2016-01-28,1249289303
Danaus plexippus,-77.00767,-12.08692,gbif,2016-01-11,1229923719
Danaus plexippus,175.60256,-40.32695,gbif,2016-01-05,1227772837
Danaus plexippus,-76.72766,37.14147,gbif,2016-01-27,1233602126
Danaus plexippus,-122.69873,37.90206,gbif,2016-01-01,1229613061
Danaus plexippus,-95.41972,29.0425,gbif,2016-01-15,1291068906
Danaus plexippus,174.7582,-36.85887,gbif,2016-01-29,1305134380
Danaus plexippus,-117.97879,33.69708,gbif,2016-01-04,1227771179
Danaus plexippus,-156.32246,20.74108,gbif,2016-01-02,1227771523
Danaus plexippus,175.60255,-40.32694,gbif,2016-01-08,1227773534
Danaus plexippus,-121.9312,36.62673,gbif,2016-01-20,1233596950
Danaus plexippus,175.60255,-40.32694,gbif,2016-01-04,1227772835
Danaus plexippus,-95.45833,29.95514,gbif,2016-01-31,1249281002
Danaus plexippus,-121.93105,36.62667,gbif,2016-01-20,1233596871
Danaus plexippus,-95.5137,29.97124,gbif,2016-01-21,1229930184
Danaus plexippus,-95.41972,29.0425,gbif,2016-01-07,1291068888
Danaus plexippus,-120.84169,35.32107,gbif,2016-01-28,1233602998
Danaus plexippus,-80.35358,26.13078,gbif,2016-01-16,1233599675
Danaus plexippus,-100.33663,19.6492,gbif,2016-01-16,1273846983
Danaus plexippus,-118.21051,34.12873,gbif,2016-01-28,1233602763
Danaus plexippus,-122.49187,37.77066,gbif,2016-01-25,1233600340
Danaus plexippus,-122.47762,37.77077,gbif,2016-01-25,1233600220
Danaus plexippus,-118.28651,33.88423,gbif,2016-01-07,1229610052
Danaus plexippus,-120.64128,35.14275,gbif,2016-01-29,1291075168
Danaus plexippus,-97.40678,27.65246,gbif,2016-01-12,1229614602
Danaus plexippus,-99.12497,19.25662,gbif,2016-01-26,1273842045
Danaus plexippus,-95.43207,29.91343,gbif,2016-01-11,1229612536
Danaus plexippus,-95.51398,29.80351,gbif,2016-01-14,1229615132
Danaus plexippus,-84.0786,9.9817,gbif,2016-01-27,1249283339
Danaus plexippus,175.60259,-40.32689,gbif,2016-01-05,1227772850
Danaus plexippus,175.60262,-40.32691,gbif,2016-01-08,1227773583
Danaus plexippus,-95.40515,29.97729,gbif,2016-01-24,1233599377
